counts	instances_pre	instances_post
1	2863193	2491979
2	737980	701012
3	530938	513376
4	481750	470065
5	464480	458510
6	458570	454565
7	439580	436396
8	416922	416882
9	386296	386203
10	350596	350784
11	316560	318216
12	286085	287212
13	256595	257853
14	231126	232967
15	206221	208186
16	182121	183904
17	159006	161339
18	134747	137181
19	113984	116083
20	93877	95855
21	76021	77867
22	60152	61808
23	46704	48263
24	35806	36906
25	26996	27976
26	20151	20951
27	14500	15034
28	10270	10700
29	7257	7502
30	5182	5412
31	3540	3668
32	2637	2668
33	1797	1849
34	1235	1213
35	814	824
36	655	624
37	415	414
38	303	287
39	218	194
40	245	195
41	126	78
42	142	95
43	78	41
44	99	72
45	72	40
46	92	52
47	51	12
48	89	47
49	46	16
50	63	21
51	47	17
52	45	16
53	38	10
54	49	18
55	31	6
56	31	13
57	27	7
58	29	5
59	27	7
60	46	21
61	21	6
62	28	3
63	25	9
64	30	8
65	17	3
66	26	7
67	27	3
68	28	4
69	22	5
70	31	3
71	25	1
72	17	2
73	16	1
74	16	5
75	26	3
76	25	6
77	15	1
78	18	2
79	22	1
80	18	2
81	23	2
82	19	1
83	23	4
84	12	3
85	13	2
86	18	3
87	15	5
88	12	2
89	13	2
90	18	5
91	22	2
92	11	2
93	10	0
94	10	1
95	17	2
96	14	5
97	11	3
98	15	2
99	12	3
100	13	2
101	11	1
102	7	2
103	10	2
104	11	2
105	17	6
106	16	4
107	5	2
108	5	1
109	12	6
110	9	1
111	6	3
112	7	1
113	8	4
114	12	2
115	10	4
116	9	2
117	7	2
118	10	3
119	4	1
120	9	4
121	14	2
122	4	2
123	8	2
124	9	4
125	12	1
126	9	4
127	7	3
128	5	0
129	5	1
130	9	3
131	7	3
132	6	3
133	4	0
134	7	1
135	4	0
136	5	1
137	4	3
138	10	3
139	1	3
140	3	2
141	6	4
142	3	1
143	9	2
144	2	1
145	9	4
146	8	0
147	6	3
148	3	2
149	2	3
150	6	4
151	7	2
152	6	2
153	6	2
154	9	3
155	4	0
156	8	1
157	8	0
158	5	0
159	5	1
160	4	1
161	3	1
162	1	2
163	3	1
164	3	2
165	3	1
166	1	3
167	6	2
168	4	1
169	2	4
170	6	0
171	3	0
172	1	1
173	2	1
174	3	2
175	0	1
176	3	0
177	5	1
178	5	0
179	3	3
180	4	0
181	5	0
182	2	0
183	3	2
184	6	2
185	2	0
186	5	0
187	4	1
188	5	1
189	3	1
190	3	1
191	3	0
192	6	2
193	2	3
194	4	1
195	2	2
196	1	0
199	6	3
200	2	0
201	2	3
202	3	1
203	3	3
204	1	2
205	3	0
206	4	1
207	3	1
208	1	1
209	3	1
211	4	1
212	3	1
213	3	1
214	1	0
215	1	1
216	2	1
217	2	0
218	3	2
219	2	2
220	5	1
221	2	0
222	0	1
223	3	0
225	2	0
226	3	0
227	3	0
228	1	1
229	0	1
230	1	3
231	0	1
232	1	0
233	2	1
234	1	1
235	1	2
236	0	2
237	2	0
238	2	2
239	2	0
240	1	1
242	0	1
244	3	2
245	0	1
246	2	0
248	1	1
249	0	1
250	2	1
251	1	0
252	2	1
253	1	0
254	1	0
255	1	0
256	5	4
257	0	1
258	0	2
259	1	0
261	1	1
263	1	2
264	0	2
265	2	0
266	0	1
267	2	3
268	1	0
269	0	1
271	0	1
273	2	3
275	2	1
277	1	0
278	1	1
280	2	0
283	3	1
287	1	0
292	1	1
293	1	0
294	1	0
295	3	3
296	1	0
298	1	1
299	1	0
300	2	0
304	1	0
309	0	1
311	1	0
314	2	0
315	1	0
317	1	0
318	1	0
320	1	1
321	1	0
322	0	1
323	1	1
324	1	1
325	1	0
327	0	1
328	0	1
331	1	2
332	1	0
333	1	1
334	1	1
335	1	0
336	2	0
339	0	1
340	1	0
343	1	0
345	1	0
356	1	0
357	1	0
359	1	1
363	1	0
364	1	1
366	0	1
368	1	0
373	0	1
374	1	0
375	1	0
379	1	0
380	0	1
381	1	0
382	0	1
383	2	0
384	0	1
386	1	1
391	1	0
393	1	0
395	0	1
399	0	1
400	0	2
402	1	1
403	1	0
404	1	0
412	0	1
415	0	1
417	0	1
418	1	0
421	0	1
423	1	1
425	1	0
432	0	1
434	1	0
437	0	1
439	0	1
444	0	1
450	0	1
454	1	1
460	0	1
461	0	2
463	1	0
464	0	1
466	1	0
467	0	1
468	0	1
472	0	1
479	0	1
481	0	1
482	2	0
485	1	1
488	0	2
489	1	0
490	0	1
493	1	1
495	0	1
497	1	0
508	1	0
509	0	1
510	0	1
511	1	0
515	0	1
521	1	0
525	1	1
529	1	0
540	1	0
544	1	0
545	1	1
552	1	0
557	1	0
561	0	1
563	0	1
565	1	0
566	0	1
567	1	0
569	0	1
571	0	1
577	1	0
587	0	1
600	1	0
616	0	1
622	0	1
637	0	1
646	1	0
648	0	1
652	0	1
654	0	1
658	0	1
664	0	1
671	0	1
696	0	1
708	0	2
730	1	0
731	1	0
735	0	1
744	0	1
759	0	1
791	0	1
834	0	1
875	0	1
880	0	1
884	0	1
931	1	0
934	0	1
935	0	1
950	0	1
1075	0	1
1191	1	0
1205	1	0
1214	1	0
1265	0	1
1276	0	1
1286	0	1
1306	0	1
1310	0	1
1329	1	0
1357	1	0
1485	0	1
1499	0	4
1505	1	0
1509	1	0
1512	0	1
1591	0	1
1594	0	1
1629	0	1
1646	0	1
1701	1	0
1707	1	0
1736	1	0
1822	1	0
1832	0	1
1950	0	1
2083	1	0
2094	0	1
2152	1	0
2194	0	1
2216	0	1
2343	1	0
2399	1	0
2436	1	0
2591	0	2
2833	1	0
3036	0	1
22339	1	0
243129	0	1
